Query	Predicted parents
abnormal_waves	rayleigh wave, sonoluminescence, surface wave, breaking wave, stokes wave
absolute_colors	color balance, color space, color co site sampling, colour cast, backlight
abstraction_theorem	denotational semantics, programming language, simply typed lambda calculus, higher order logic, lambda calculus
ac_coefficient	pulse, computer hardware, operating system, cmos, telecommunications
ac_induction	shaft voltage, plant, actuator, output impedance, pulsed power
acoustic_phase_conjugation	industrial trauma, occupational injury, suspected physical abuse, intel matrix raid, intel ct
active_cavity	optical fiber, plastic optical fiber, artificial intelligence, fiber optic splitter, fiber optic sensor
active_directory	world wide web, database, the internet, directory, directory service
active_valve	shuttle valve, actuator, valve actuator, pulse, needle valve
adaptive_method	internal hirudiniasis, monochrome photography, nystagmograph, suspected physical abuse, hirudotherapy
adcp	faked death, life without death, nondeterministic finite automaton with e moves, coppersmith winograd algorithm, hirudotherapy
adenine_nucleotide	national historic chemical landmarks, international meeting on computational intelligence methods for bioinformatics and biostatistics, international symposium on wearable computers, earth sciences graphics software, anomalistic psychology
advanced_solid_rocket	range, flight management system, artillery, flight simulator, space suit
aggregate_data_type	online analytical processing, database, sargable, relational database, data warehouse
agile_construction	agile usability engineering, software development process, microsoft solutions framework, agile software development, waterfall model
aiton	arboriculture, key, hero, coin, lomechusini
aizerman	delta operator, robust control, fuzzy control system, double integrator, quantitative feedback theory
algebraic_lattice	initial topology, integer points in convex polyhedra, operator, galois module, boolean algebra
algebraic_reconstruction	domestic accident, hirudotherapy, internal hirudiniasis, suspected physical abuse, blocking nose
algorithmic_language	fifth generation programming language, programming language, procedural programming, symbolic programming, second generation programming language
algorithmic_pricing	optimal decision, credit default swap index, search advertising, heuristic, charge off
algorithms_logic	computer science, programming language, artificial intelligence, expert system, algorithm
alohanet	telecommunications, computer network, operating system, distributed computing, arpanet
animation_markup_language	artificial intelligence, computer facial animation, xhtml, programming language, java speech markup language
ansi_code	programming language, operating system, strictfp, unix, unicode
architecture_assessment	enterprise architecture framework, integrated enterprise modeling, disaster recovery, application lifecycle management, enterprise integration
atomic_function	configuration entropy, maximum entropy thermodynamics, dirac sea, hybrid monte carlo, entropy
automated_fare_collection	flight management system, air traffic control, flight simulator, airspace class, national airspace system
automated_message_handling	identifier, real time computing, operating system, alarm, embedded system
automatic_item_generation	artificial intelligence, computer science, programming language, operating system, machine learning
automatic_signal	computer hardware, telecommunications, artificial intelligence, operating system, real time computing
autonomous_agency_theory	artificial intelligence, cybernetics, computer science, mobile robot, robot
autonomous_control	platoon, simulation, remotely operated underwater vehicle, mobile robot, air traffic control
autonomous_unit	artificial intelligence, computer science, operating system, distributed computing, computer hardware
bayesian_monte_carlo	internal hirudiniasis, nystagmograph, diaphragm check, monochrome photography, prosthesis surgery
behavior_effect	artificial intelligence, gesture, fearful expression, facial expression, kinesics
binary_array	artificial intelligence, merge sort, insertion sort, programming language, bubble sort
binary_distribution	operating system, computer science, artificial intelligence, programming language, algorithm
binary_file	file system fragmentation, operating system, unix file types, indexed file, file control block
binary_moment	parity function, circuit minimization for boolean functions, boolean function, and inverter graph, programming language
binary_name	programming language, artificial intelligence, operating system, turtle, syntax
binary_testing	x bar chart, parity function, hamming code, random seed, circuit minimization for boolean functions
binomial_classification	portable stretcher, intentional camera movement, wash rack, telechrome, ragdoll physics
binomial_representation	artificial intelligence, machine learning, programming language, algorithm, fuzzy logic
boundary_component	artificial intelligence, computer science, operator, programming language, coordinate system
boundary_delimitation	artificial intelligence, declaration, carriage, computer security, arborist
boundary_field	six degrees of separation, pocket cube, artificial intelligence, studio, shopping mall
bounded_lattice	initial topology, euclidean shortest path, comparison of topologies, segment tree, integer points in convex polyhedra
bounding_geometry	constrained delaunay triangulation, pitteway triangulation, bounding volume, marching triangles, delaunay triangulation
bounding_point	delaunay triangulation, constrained delaunay triangulation, bounding volume, euclidean shortest path, triangulation
broadcast_markup_language	programming language, artificial intelligence, operating system, world wide web, multimedia
broadcast_programming	operating system, programming language, multimedia, computer science, broadcasting
broadcast_wave	operating system, telecommunications, digital audio, broadcasting, digital television
cadastral_database	object based spatial database, raster data, database, spatial database, iso tc 211 geographic information geomatics
cerebellar_model_arithmetic	artificial intelligence, artificial neural network, types of artificial neural networks, backpropagation, recurrent neural network
change_network	artificial intelligence, computer network, telecommunications, computer science, distributed computing
chemical_polymerization	suspected physical abuse, automated auditory brainstem response, occupational injury, home accidents, recurrent falls
circuit_capacitance	multiple emitter transistor, logic family, integrated circuit, logic gate, cmos
clearance_control	range, trailer, shuttle valve, maneuvering speed, hydraulic tappet
cloud_engineering	cloud computing, cloud testing, cloud computing security, virtualization, utility computing
cloud_research	cloud computing, cloud computing security, cloud testing, virtualization, utility computing
coarse_function	multivariate interpolation, watershed, spline interpolation, interpolation, constrained delaunay triangulation
coefficient_of_weight	one way analysis of variance, linear regression, x bar chart, fractional factorial design, f test
coherence_elastography	artificial intelligence, photoacoustic tomography, optical imaging, optical tomography, speckle pattern
collaborative_translation	artificial intelligence, knowledge management, multimedia, computer science, human computer interaction
common_log_format	database, operating system, indexed file, programming language, unix file types
common_programming_interface	programming language, operating system, software engineering, embedded system, software
completion_theory	programming language, artificial intelligence, semantics, cybernetics, embodied cognition
computational_network	complex network, distributed computing, computer science, wireless sensor network, parallel computing
constraint_solution	linear fractional programming, optimization problem, hybrid algorithm, local consistency, generalized assignment problem
crowd_computing	artificial intelligence, computer science, social network, cloud computing, complex network
cryptic_relatedness	trait, artificial intelligence, limiting similarity, geoffroy s tamarin, ant
cryptographic_apis	computer security, authentication, lightweight extensible authentication protocol, encryption, cryptography
cryptographic_log	computer security, public key cryptography, digital signature, authentication, key exchange
data_conferencing	operating system, multimedia, videoconferencing, computer hardware, mobile device
data_description	documentation, database, database design, programming language, computer science
data_discman	operating system, telecommunications, computer science, laptop, world wide web
data_expression	database, programming language, query by example, relational model, relational database
data_farming	eye injuries, witness impeachment, sexual fantasy, head lacerations, geneva drive
data_infrastructure	data center services, open science grid consortium, public services network, emc vplex, integrated architecture framework
data_libraries	cataloging, microform, research data archiving, library science, how to
data_localization	raster data, spatial analysis, spatial database, global map, data processing
data_oriented	programming language, computer science, database, java, programming paradigm
data_philanthropy	computer science, information and communications technology, database, telecommunications, knowledge management
data_preservation	preservation metadata, qname, xkms, online certificate status protocol, nist special publication 800 53
data_sovereignty	computer security, security information and event management, network security policy, database, information security
data_wrangler	database, data mining, computer science, information retrieval, programming language
